=== DUPLICATE STUBS (appear in 2+ files) ===
6x  [lurek.filled and outlined]  in: render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua
2x  [LMenuBar:getMenus]  in: ui_03.lua, ui_08.lua
2x  [LBehaviorTree:setRoot]  in: ai_01.lua, patterns_05.lua
2x  [LTerminal:getWidgetCount]  in: terminal_00.lua, terminal_02.lua
2x  [LTerminal:clearWidgets]  in: terminal_00.lua, terminal_02.lua
2x  [LChannel:pushBytes]  in: thread_00.lua, thread_01.lua
2x  [lurek.ui.newProgressBar]  in: ui_05.lua, ui_08.lua
2x  [lurek.spine.newSkeletonAnimation]  in: spine_00.lua, spine_01.lua
2x  [LSpriteAtlas:getByIndex]  in: sprite_00.lua, sprite_01.lua
2x  [LVec2:length]  in: math_04.lua, math_07.lua
2x  [lurek.render.setWireframe]  in: render_01.lua, render_06.lua
2x  [LBezierCurve:insertControlPoint]  in: math_02.lua, math_07.lua
2x  [lurek.ui.newBadge]  in: ui_05.lua, ui_10.lua
2x  [LAccordion:toggleSection]  in: ui_03.lua, ui_08.lua
2x  [LBody:setLayer]  in: physics_00.lua, physics_01.lua
2x  [LMenuBar:removeMenu]  in: ui_03.lua, ui_08.lua
2x  [LVec2:lerp]  in: math_04.lua, math_07.lua
2x  [LNoiseGenerator:simplex3d]  in: math_03.lua, math_06.lua
2x  [LTerminal:textinput]  in: terminal_00.lua, terminal_02.lua
2x  [LMod:setEnabled]  in: mods_00.lua, mods_02.lua
2x  [LSpriteBatch:release]  in: render_02.lua, render_05.lua
2x  [LMod:getApiVersion]  in: mods_00.lua, mods_02.lua
2x  [LScheduler:getRemaining]  in: timer_00.lua, timer_01.lua
2x  [LAccordion:isSectionExpanded]  in: ui_03.lua, ui_08.lua
2x  [LScheduler:resume]  in: timer_00.lua, timer_01.lua
2x  [LNoiseGenerator:turbulence]  in: math_03.lua, math_06.lua
2x  [LCompressedImageData:getMipmapCount]  in: image_02.lua, image_03.lua
2x  [LCircle:aabb]  in: math_05.lua, math_07.lua
2x  [LCanvas:typeOf]  in: render_02.lua, render_05.lua
2x  [LSkeleton:drawToImage]  in: spine_00.lua, spine_01.lua
2x  [LTween:cancel]  in: tween_00.lua, tween_02.lua
2x  [LModManager:hasMod]  in: mods_01.lua, mods_02.lua
2x  [lurek.math.gammaToLinear]  in: math_05.lua, math_06.lua
2x  [LMod:setCapabilities]  in: mods_00.lua, mods_02.lua
2x  [LMod:getHook]  in: mods_00.lua, mods_02.lua
2x  [LBody:setMask]  in: physics_00.lua, physics_01.lua
2x  [LTerminal:setCellSize]  in: terminal_00.lua, terminal_02.lua
2x  [LSkeleton:setSkinMapping]  in: spine_00.lua, spine_01.lua
2x  [LShader:send]  in: render_03.lua, render_05.lua
2x  [LSkeleton:addIKConstraint]  in: spine_00.lua, spine_01.lua
2x  [lurek.thread.newPool]  in: thread_00.lua, thread_01.lua
2x  [LSpriteManager:sortAndProject]  in: raycaster_01.lua, raycaster_02.lua
2x  [lurek.render.setPointSize]  in: render_00.lua, render_06.lua
2x  [LTabBar:addTab]  in: ui_03.lua, ui_09.lua
2x  [LScheduler:cancelAll]  in: timer_00.lua, timer_01.lua
2x  [LScheduler:cancelNamed]  in: timer_00.lua, timer_01.lua
2x  [lurek.ui.newStatusBar]  in: ui_04.lua, ui_09.lua
2x  [LMod:setHook]  in: mods_00.lua, mods_02.lua
2x  [lurek.scene.serializeScene]  in: scene_01.lua, scene_02.lua
2x  [LSpriteManager:type]  in: raycaster_01.lua, raycaster_02.lua
2x  [LScheduler:getTimeScale]  in: timer_00.lua, timer_01.lua
2x  [lurek.math.vec3]  in: math_04.lua, math_04.lua
2x  [LTerminal:getFocused]  in: terminal_00.lua, terminal_02.lua
2x  [LTweenParallel:cancel]  in: tween_01.lua, tween_02.lua
2x  [LTransform:reset]  in: math_04.lua, math_07.lua
2x  [LMod:getDependencies]  in: mods_00.lua, mods_02.lua
2x  [LTerminal:addWidget]  in: terminal_00.lua, terminal_02.lua
2x  [LModManager:markForReload]  in: mods_01.lua, mods_02.lua
2x  [LBody:getMask]  in: physics_00.lua, physics_01.lua
2x  [LVec2:fromAngle]  in: math_04.lua, math_07.lua
2x  [LSpriteManager:clear]  in: raycaster_01.lua, raycaster_02.lua
2x  [LTransform:setTransformation]  in: math_04.lua, math_07.lua
2x  [LBezierCurve:getDerivative]  in: math_02.lua, math_07.lua
2x  [LScheduler:isPaused]  in: timer_00.lua, timer_01.lua
2x  [lurek.scene.push]  in: scene_00.lua, scene_02.lua
2x  [LBezierCurve:evaluateAtDistance]  in: math_02.lua, math_07.lua
2x  [LCanvas:release]  in: render_02.lua, render_05.lua
2x  [LVec3:lengthSquared]  in: math_04.lua, math_07.lua
